CHILDID,X4PRNCON,X4PRNSOC,X4PRNSAD,X4PRNIMP,X4TCHCON,X4TCHPER,X4TCHEXT,X4TCHINT
10004504, , , , , , , , 
10004505,3.4,4,2.25,1.5,4,4,1,1.75
10004506,3.2,4,1.25,2.5,2.75,3.4,1.33,1.25
10004507,3.2,3.33,1.25,1,3.5,3,1.17,1
10004508,2.6,2.33,2,2,3,3,1.5,2
10004509,3.6,4,1.25,1.5,3.5,3.2,1.67,1
10004510,4,4,1.25,1,2,3,2.33,2.75
10004511, , , , , , , , 
10004512,2.8,4,2,2.5, , , , 
10004513,3.6,4,1,2,3.5,3.8,1.17,1.25
10004514,3.2,3,1.25,2, , , , 
10004515,2.6,3.67,1.5,1.5,2.5,2,2.17,1.75
10004516,2.4,2.67,2,2,3.5,3.4,1.67,1
10004517,2,3.33,2,2.5,3.5,3.2,1,1
10004518, , , , ,3.25,4,1,1
10004519,3.4,3.67,1.5,1.5,2.5,2.4,2,2
10004520,2.8,3.33,1.5,1, , , , 
10004521,3.2,4,1.25,1.5,2.75,3,3.17,2.25
10004522,2.8,3,1.25,2, , , , 
10004523,3,3,2,2,3,2.8,2,1.5
10004524, , , , , , , , 
10004525,2.8,4,1.25,2,2.25,2.6,2.17,2.75
10004526, , , , ,3.25,3,1.17,1.25
10004527, , , , , , , , 
10004528,2.8,3.33,1.25,1.5,3.5,3.6,1,2
10004529,3.4,4,1,1.5,2.75,2.6,3.17,2.5
10004530,2.6,2.67,2,2.5,2.5,2.4,2.5,2.25
10004531,2,4,1,1.5,2.75,2.8,2.67,1.5
10004532,3.8,3.33,1.25,1.5,4,3.8,1,1.25
10004533,3.8,4,1.25,1,3.25,2.8,1.83,1
10004534,2.2,3.67,1.5,1.5,4,3.6,2,1.75
10004535,3.8,4,1.75,2,3,3,1.33,1.25
10004536, , , , ,3,2.4,2,1.25
10004537,3.6,3.67,1,1,3,3,2,1.25
10004538,3.8,3.67,1.25,1.5,2.25,2.2,2,2.25
10004539,3,4,1.75,2, , , , 
10004540,3,3.67,1.25,2,3.5,2.6,1.67,1.25
10004541,3.2,3.33,1.5,2,3.33,3.5,1.2,1.25
10004542,2,3.33,3,1.5, , , , 
10004543, , , , ,3,3,1.2,1.25
10004544,3.8,3.67,1,1,3.75,3.8,1,1
10004545, , , , ,3.25,3.2,1.17,2
10004546, , , , ,1.75,2,3.67,2.75
10004547,2.8,3.67,1.25,2.5,2.75,2.8,2.17,2
10004548,2.8,4,1.25,2,3.5,3.25,1.67,1.25
10004549,3,4,1.5,1,2,2.75,2.33,1
10004550,3.6,4,1.25,1, , , , 
10004551,3.4,3.67,1.25,1.5, , , , 
10004552,3.4,2.33,1,1, , , , 
10004553, , , , , , , , 
10004554,3,3.33,1.75,1,4,4,1,1
10004555,3,3.33,1.75,1.5,3.5,3.6,1.17,1.75
10004556,3,4,1,2,2.25,2,2.67,1.5
10004557,3,3,1.25,1.5, , , , 
10004558,3.2,3.67,1.5,1.5,3.5,3.8,1.17,1
10004559,3.2,4,2.25,2,3.75,3.2,1.5,1
10004560,2.8,3.67,1.5,1.5,2.5,2.2,2,2
10004561, , , , , , , , 
10004562, , , , ,3, ,1.33,1
10004563,2.6,2.33,2.25,2,3,2.8,1.33,1.5
10004564,3.4,3,1,1.5,4,2.75,1.17,1.5
10004565,4,4,2,1,3.25,3.4,1.17,1.5
10004566,3.2,3,1,2,3,2.8,1.6,1
10004567,3.6,4,1.25,1,3,3.4,2.17,1.5
10004568,3.4,4,1.5,2,3.25,3.6,1.5,1.5
10004569, , , , , , , , 
10004570, , , , , , , , 
10004571,3.4,3.33,1.5,1.5,2.25,2.4,2.17,1.75
10004572,3.6,3.33,1,1,2.5,1.8,2,2
10004573,3.6,3.33,1.25,1,3.5,3.2,2,1.25
10004574,3.6,2.33,2,1.5,2.75,3.2,1.33,1.5
10004575,3.4,2.67,1.25,1.5,2.75,2.8,1.33,1.5
10004576,3.2,2.67,2,1.5,4,4,1,1.25
10004577,3,4,1,1.5,3,2.6,2.17,1.25
10004578,2.2,2.67,2.5,2.5, , , , 
10004579,2.4,3.67,1.75,2,3.5,3.8,1.67,2.5
10004580,2.6,2.33,2,1.5, , , , 
10004581,3,4,1,4, , , , 
10004582,3,3.67,1.25,2.5,4,3.8,1.67,1
10004583,3,3.33,1.25,2,3.25,3,2,1
10004584,3.2,3.33,1.25,1,3.5,3.6,1.17,1.5
10004585,2.6,4,1.25,1.5,2.25,2,2.17,1.75
10004586,3.2,4,1.25,1.5,3.75,2.8,1.5,1.5
10004587,2.2,3.67,1.25,2,2,2,2,2.25
10004588,2.8,2.67,1.5,2.5,4,3.6,1,1
10004589,3.2,3.33,1.5,2.5,2.75,2.6,1.5,2
10004590,2.6,3.33,1.75,1.5,3.25,3,2.17,1.25
10004591, , , , , , , , 
10004592,2.6,3.67,1.25,3.5, , , , 
10004593,3,4,1,1,3.5,3.6,1.17,1
10004594,3.4,4,1,2,3.25,3.8,1.67,1.75
10004595,3,3.67,1.5,2,3.5,3.4,1.5,1.75
10004596,2.6,4,1.25,2, , , , 
10004597,2.6,3.33,1.5,1.5,3.33, ,1.83,1
10004598,3.4,3.67,1.25,1,3.5,2.4,1.5,1.5
10004599, , , , ,4,3.8,1.17,1
10004600,3,2.67,2,1,3.33,3.2,1,3
10004601,3.8,4,1,1,3.5,3.4,2,2
10004602,3.8,3.67,1.75,2,4,4,1,1.25
10004603, , , , ,2,2,2.83,2
10004604,1.8,3,2.25,3.5, , , , 
10004605,4,3,1,1.5, , , , 
10004606,2.4,3.33,1,1.5,3.5,4,1.17,1.25
10004607, , , , , , , , 
10004608, , , , ,3,3.8,2.33,1.5
10004609,3.6,3.33,1.5,1.5,3.25,3.2,2,2
10004610,2.8,4,1.75,1.5,3.67,3.4,1.67,1
10004611, , , , , , , , 
10004612, , , , , , , , 
10004613,3,3.67,1.25,2,3.5,3.6,1.5,1.25
10004614,3.8,3.67,1,1, , , , 
10004615, , , , ,3,2.4,2,2
10004616, , , , , , , , 
10004617,3,4,2,2,3.25,3.2,2,1.25
10004618,3.2,2.67,2.25,1,3.25,3.4,1.17,1
10004619,3,2.67,1.25,1,3,3,1.17,1.25
10004620,4,3.33,1.25,1.5,3.5,3.8,1,1.25
10004621, , , , , , , , 
10004622, , , , ,3.75,3.6,1.83,1.5
10004623, , , , ,2.75,3.25,1.17,2
10004624,3,2.67,1.5,1.5,3.75,3.4,1.17,1.25
10004625,3,4,1.25,2.5,2.5,2.8,2.17,2
10004626, , , , ,3.75,3,1.33,1
10004627, , , , ,2.5,2.6,3.17,2
10004628,2.6,4,2.25,2,3.67,3.6,1.83,1.5
10004629,2.6,3,1.5,2,1.75,2,3.5,2
10004630, , , , , , , , 
10004631,3.2,3.33,1.25,2,2.25,2.2,1.83,1.75
10004632,3,2.33,1.75,2,3.75,4,1,2.25
10004633,2.8,3.33,1.25,1,4,4,1,1.75
10004634, , , , , , , , 
10004635,2.8,4,1.75,2,4,4,1.5,1.5
10004636,3.8,3.67,1.5,1.5,3,3.6,2,2
10004637,2.6,4,1,2.5,3.5,3,1.5,1.25
10004638,2.6,3.67,1.25,2.5,2.75,2.8,2,2.5
10004639,3.2,3.67,1.5,2,3.25,2.8,1.33,2.75
10004640, , , , , , , , 
10004641,2.6,3.67,2.25,2, , , , 
10004642,3,4,1.5,2.5,4,4,1,1
10004643,3,2,1.75,3,2.5,2,1.83,2
10004644,3.2,4,1.25,2,4,4,1,2.5
10004645,2.8,3.67,1.5,1.5, , , , 
10004646,3.6,4,1,2.5,3.25,2.6,1.83,2.25
10004647, , , , ,2.5,1.8,2.33,2
10004648,3.4,3,1.25,1,3.5,3.4,1.5,1.5
10004649, , , , ,3.5,3.4,2,1.75
10004650, , , , ,3,2.6,1.33,1.75
10004651,2.6,4,1.75,2.5, ,3.6,2.17,1.25
10004652,2.8,2.67,1.75,3,2.25,1.8,2.17,1.5
10004653,2.6,2.33,1.5,2.5, , , , 
10004654,3.8,3.33,1.5,2,3.5,3.4,1.33,2
10004655, , , , ,3.5,3.2,1.33,1.25
10004656, , , , , , , , 
10004657,3,2.67,1.5,1.5,3,2.2,1.83,3.25
10004658, , , , , , , , 
10004659,2.4,3.67,1.5,2.5,4,4,1,1
10004660, , , , ,3,2.2,1.83,2.25
10004661,4,4,1,1,2.75,3,1.67,1.75
10004662, , , , , , , , 
10004663,3,4,1.5,1.5,3.5,3.6,1.17,1.25
10004664,3.2,4,1,1,4,4,1.17,1.25
10004665,2.8,4,1.5,1.5,4,4,1,1.25
10004666, , , , ,3.25,3,2.67,1.5
10004667, , , , ,3.5,3,1.5,2.5
10004668,3.2,3.67,1.25,2,3.75,4,1.83,1.25
10004669,3.4,3,1.75,2,3,3,2,1.5
10004670, , , , ,2.33,2.4,2.67,2.75
10004671,3.4,4,1.5,1.5,3,3.2,1.5,1.25
10004672,2.8,3.33,1.25,1.5,2.5,1.8,2.17,2
10004673,2.6,3,1.75,3,4,4,1,1.25
10004674, , , , ,3,3,1.67,2
10004675,3.4,3.33,1.5,2,3,3,1.33,1
10004676,2.6,2.67,2,2,2,1.6,2.67,1.75
10004677,3.2,3.67,1.25,2,2.67,3, ,2
10004678,3,2,1.25,1,2.75,3,1.8,1.75
10004679,2.8,2.33,1.25,1,4,4,1.17,1.25
10004680, , , , ,2.5,2.6,1.17,1.75
10004681,3.2,4,1.25,1.5,3.25,3.4,1.5,1.25
10004682,3,4,1.25,1.5,4,4,1,1
10004683,1.8,3,1.25,3.5,3.5,3.2,1.33,1.25
10004684,2.8,4,1.25,1.5,3.5,3.8,1.17,1.5
10004685,3.2,3.33,2,2,3.5,3.6,1.33,2.25
10004686,2.6,4,2,2, , , , 
10004687,2.2,3,2,2.5,2.75,2.8,1.83,1.5
10004688,3.4,4,1.75,2.5,3.25,2.4,2.17,2.25
10004689,2.8,3.67,1.25,1.5,4,4,1.17,1
10004690, , , , ,2.75,3,1.33,1.5
10004691, , , , , , , , 
10004692,3,2.67,1,1,4,3.6,1,1.5
10004693,3.2,3.33,2,2.5,1.75,2,4,2
10004694, , , , , , , , 
10004695, , , , , , , , 
10004696,3,3,1.25,1,3,2.4,1.33,2
10004697, , , , , , , , 
10004698, , , , ,3,3.2,1.83,2.25
10004699,3,3,1.75,2,2,2,3,1.25
10004700,3.2,3.33,1.5,1.5,3.5,3.8,1.5,1.75
10004701,2.8,2.33,1.25,2,2.25, ,3.33,2
10004702, , , , , , , , 
10004703,3.2,3.67,2,1.5,3,2.2,1.83,1.33
10004704,3.4,4,1.25,1,3.75,3.6,1.17,1.75
10004705, , , , , , , , 
10004706,3.4,2,1,1,3.25,2.2,1.67,1.5
10004707,2.6,3,2,2,2.75,2.8,2.67,1.25
10004708,4,4,1,1.5,3.25, ,1.33,1.25
10004709,2.4,3.67,1.25,1, , , , 
10004710,3.4,1.67,1.25,1,3.5,3.2,1,2
10004711,2.8,3,1.5,1.5,4,4,1,2
10004712,4,4,1.25,2.5,3,3.4,2,1.25
10004713, , , , ,3.5,3.6,1,2
10004714,3.2,3,1,1,3.5,3.8,1.67,1.25
10004715,3.2,4,1.25,1.5,3.5,3.4,1.33,1
10004716,2.8,2.67,1.75,2,3,3,2,1.5
10004717,2.6,4,1.5,2.5,2.25,2.6,3,2.5
10004718,3.4,3,1.5,2, , , , 
10004719,4,3.33,1,2,3.5,3.8,1,1.25
10004720, , , , , , , , 
10004721,3.2,3.33,1.25,1, , , , 
10004722, , , , ,2.5,2.6,2.5,1.75
10004723, , , , ,4,4,1,1
10004724,3,2.67,2,2, ,1.6,2.33, 
10004725,3.2,3.67,1.75,2,3.5,3,1,1.33
10004726,2.4,2.67,2.25,2, , , , 
10004727,3.2,3.33,1.25,1,4,4,1,1
10004728, , , , ,3.5,4,2.17,1.25
10004729, , , , , , , , 
10004730, , , , , , , , 
10004731, , , , , , , , 
10004732,3.8,4,1.25,1.5,3.75,4,1.33,1
10004733, , , , , , , , 
10004734,2.8,3.67,1.5,2,3.75,3.6,1.33,1.25
10004735, , , , , , , , 
10004736, , , , , , , , 
10004737,2.8,3.33,1,2,3.5,2.6,1.17,1.5
10004738,3,3.33,1.75,1,3.5,3.4,1.17,1.25
10004739, , , , ,4,3.6,1.33,1
10004740,2.4,2.67,1.5,2,3.75,3.4,1.17,1.25
10004741,2.2,4,1.75,2,2.25,1.8,2.33,1.75
10004742, , , , , , , , 
10004743, , , , , , , , 
10004744, , , , ,2.75,2.4,1.83,1.25
10004745,2.8,3,1.5,2,2.5,2.4,2.33,1.75
10004746,2.8,3.67,2,2,4,4,1,2.75
10004747,2.6,3.33,2.5,2,3,1.6,2.17,1.5
10004748,1.6,2.67,2.25,3,2.5,2.2,1.5,1.75
10004749,2.4,1.5,1.5,2, , ,2.6, 
10004750,2.8,2.33,2,2,4,4,1.17,1.25
10004751,2.8,2.67,1.75,1.5,3.25,3.4,1.67,1
10004752,2.6,3,1.75,1.5,3.5,3.8,1.67,1.5
10004753,2.8,4,2,1,3.25,4,2.67,1
10004754, , , , , , , , 
10004755,3,3.33,1.5,1.5,2.5,2.8,1.17,1.75
10004756, , , , ,2.5,2.6,2.5,1
10004757,2.4,3.67,1.25,2.5,3.75,4,1.33,1.25
10004758,3.6,4,1.25,1,4,4,1.33,2.5
10004759, , , , ,2.5,2.4,2.33,2
10004760, , , , , , , , 
10004761, , , , , , , , 
10004762, , , , , , , , 
10004763, , , , ,2.5,2.6,1.33,1.25
10004765,2.4,3,1.25,2.5,3.5,3.8,1.33,1.75
10004766,2.2,3.67,1.25,2.5,4,4,1,1
10004767,3.8,4,1,1,4,3.4,1,1.75
10004768,2.8,3,1,2,2.25,2.6,1.67,1.25
10004769, , , , , , , , 
10004770,3,3.67,1.5,2,3,3.4,1.67,1.75
10004771,2.8,3.67,1.5,1.5,3.5,2.8,2.17,1.5
10004772,1.6,3,3.75,3.5,2.25,2,3.17,1.75
10004773,2.6,2.33,2.25,2.5,3,2.6,2,1.25
10004774, , , , ,3.75,3.6,1,1.25
10004775,2.8,2.67,1.75,1.5,2.25,2.4,1.17,1
10004776,3.8,4,1.25,1, ,3,1.17,1.5
10004777,3.4,4,1.5,1.5,3.75,3.8,1.17,1.5
10004778,3.8,4,1.25,1.5,3.33,3.6,1.17,1.25
10004779,1.8,2.67,1.5,2,3.5,3.6,2,2.25
10004780,3.2,4,1.25,1,3.25,4,1,1.75
10004781,3.4,4,1.25,1, , , , 
10004782, , , , ,3.25,3,1.33,2
10004783,3.6,4,1.5,3,3.25,3.2,1.67,1.25
10004784,3,4,1.5,2.5,4,3.75,1.5,1.5
10004785, , , , ,3.75,4,1.67,2.25
10004786, , , , , , , , 
10004787,3,3.67,1.25,1, , , , 
10004788, , , , , , , , 
10004789,3,3.67,1.25,1.5,3.5,4,2,2
10004790,2.6,2,2,2,4,4,1,1.25
10004791,3.8,4,1.25,1,3,3.2,1.17,1.25
10004792, , , , , , , , 
10004793,3.4,3.67,2,1.5,3.33,3.8,1.83,1.5
10004794, , , , , , , , 
10004795,2.8,2.67,1.25,2,3.75,4,1.17,1
10004796,2.8,3.33,1.25,3,2.5,2.4,2,1.25
10004797,2,3,2,3, , , , 
10004798, , , , , , , , 
10004799,3,4,1,1,3.5,4,1.5,1.25
10004800,2.8,3.67,1.75,1.5,3,3,2,1.75
10004801,3.8,4,1,1,3.25,3,2,2.25
10004802,3.6,3,2,1,3.25,4,1.17,1.25
10004803,3.4,3.33,2,1.5,3.75,3.4,1.17,1.25
10004804,2.8,2.67,1.5,2,4,3.6,1.67,1
10004805,3,3,2.25,2.5,4,3.6,1.33,1.5
10004806,3,3,1.25,1,3.5,3.2,1.5,1.25
10004807,3.4,3.33,1.25,1, , , , 
10004808,2.8,2,1.75,2,3.67,2.6,1.17,2.25
10004809,2.4,3,1.5,1,4,4,1,1
10004810, , , , ,3,3.2,1.5,1.25
10004811,3.8,3,1.5,1,3.75,2.2,1.17,1.5
10004812, , , , ,3,3.6,1.5,1.25
10004813,3,3.67,1.25,1.5,3.75,3.6,1.67,1.25
10004814,3.4,3.67,1.5,3,4,4,1.33,1.25
10004815,3.2,2.67,2,1.5,3.75,3,1,2.5
10004816,3.2,2.67,1.5,2,2.75,2.8,2.17,1.25
10004817,3.2,4,1.5,2,2,2,2.33,1.5
10004818,3,4,1.75,2,4,3.6,1.67,1.25
10004819,3,3.33,1.75,1.5,3,2.8,1.67,1.75
10004820,2.4,3,1,1,2.5,1.8,2.17,1
10004821,3.2,3.33,1.25,1.5,2.5,2.2,2.33,1.75
10004822,3.2,4,1.25,1,3.25,3.2,2.5,2
10004823,3.6,4,1,1,3.75,4,1,1
10004824,3.2,4,1.75,2.5, , , , 
10004825, , , , , , , , 
10004826, , , , ,2.25,2.2,2.83, 
10004827,3.8,3.67,2,1.5,3.25,3.5,1.17,1.25
10004828, , , , ,4,4,1.17,1.5
10004829,2.8,3,1.5,2.5,2,2,3,2
10004830,3.6,4,1.25,1,3.5,3,1.33,1.25
10004831,2,3.67,1.75,2.5,3.25,3.4,1.33,1
10004832,3,3.33,1.75,2.5,3.25,2.8,1.83,1
10004833, , , , , , , , 
10004834,3,4,1.75,2,2,2,1.83,1
10004835,3,3.33,1.25,1,4,3.8,1.17,1.25
10004836,3.4,2.33,1,1.5,3.75,3.6,1.17,1.75
10004837, , , , , , , , 
10004838,2.4,3.67,2.75,2.5, , , , 
10004839,2.8,3.33,1.25,1, , , , 
10004840, , , , ,3.5,3,1.5,1.25
10004841,2.4,3.33,1.5,3,3,2.8,1.33,1.25
10004842,3,4,1.5,2.5,3.75,3.8,1.17,1.25
10004843,3.4,3,1,1, , , , 
10004844,2.8,3,2,2, , , , 
10004845,2.6,3.33,2,2, , , , 
10004846, , , , ,2.75,2,1.67,1.5
10004847, , , , ,4,4,1.5,1.75
10004848, , , , , , , , 
10004849, , , , , , , , 
10004850, , , , ,2.25,2,3,1.75
10004851,4,4,1.5,1, , , , 
10004852,3.2,2,1.25,1.5, ,4,1,1
10004853, , , , , , , , 
10004854,2.8,3.33,1.5,4,2.5,2.2,2.5,2
10004855, , , , ,3.25,2.8,1.17,1.25
10004856,3.4,3,1,1.5,3.5,3.4,1,1.25
10004857, , , , , , , , 
10004858,2.8,4,1.25,2,3.25,3.4,2,1
10004859, , , , ,3.25,2.8,2,1
10004860,2.6,3,1.75,2,2.5,2.8,2.17,2.75
10004861,2.4,3,1,1, , , , 
10004862,3.2,3.67,1.25,1,4,3.8,1,1.25
10004863,3.6,4,1.25,2,3,2.6,2.17,2.5
10004864, , , , , , , , 
10004865, , , , , , , , 
10004866, , , , , , , , 
10004867,1.2,4,1.5,3,3.5,3.4,1.67,1.5
10004868,3.6,3.67,1.25,1.5,3,3.4,1.83,1.75
10004869, , , , , , , , 
10004870,2.8,4,1.75,2, , , , 
10004871,2.6,4,1.25,2.5,1.75,2,3.33,3.25
10004872, , , , , , , , 
10004873,3.2,2.33,1.75,1.5,4,4,1.17,1
10004874,2.6,3.67,1.5,2,3.75,3.8,1.17,1.25
10004875,3.2,3.67,1.25,1.5,4,4,1.83,1.25
10004876,3.6,4,1.25,2,4,4,1.17,1
10004877, , , , ,4,4,1,1.25
10004878, , , , ,2.5,2.2,2,2
10004879,2.8,2.67,2,2.5,3.75,4,1.5,1.25
10004880,3.2,4,1.5,2,2.75,2.6,2,1.5
10004881,3,2.67,1.25,2, , , , 
10004882, , , , , , , , 
10004883,2.8,3.67,1.5,2.5,3.5,3,1.83,1.5
10004884, , , , ,3.25,3.2,1.5,1.5
10004885,4,4,1,1,3.25,3.6,1.5,1.25
10004886,3.2,3.33,2,2,3.5,3.6,1,1.25
10004887,2.8,4,1.5,2, ,2.6,1.17, 
10004888,2.8,4,1.25,1.5,3.5,3,1.17,1
10004889,2.8,3.33,2,2,2.75,2.2,1.83,2
10004890, , , , , , , , 
10004891,3,3.67,1.5,1,3.5,3.8,1,1.25
10004892, , , , , , , , 
10004893,3,3,1.25,2,2.25,3.6,1.33,1.25
10004894,2.6,2.67,1.5,2,3.25,3,1.33,2.25
10004895, , , , ,3,3,1.33,1.5
10004896,3.2,3.33,1.75,1,3.5,3.4,1,1.25
10004897,2.6,3.33,1.75,2,3.25,3,1.17,1.25
10004898,3.4,4,1,2,3,2.4,2.33,1.25
10004899,4,4,1.5,2,4,3.6,1.33,1.25
10004900, , , , , , , , 
10004901,2.6,3.33,2,2, , , , 
10004902,2.8,3,1.25,1.5,3.5,3.6,1.67,1.25
10004903,3.4,2.67,1.5,1,3,3.4,2,2.25
10004904, , , , ,3,3.2,1,1.25
10004905, , , , ,3.25,3.6,1.67,1.5
10004906, , , , , , , , 
10004907,2.8,2,1.75,1.5,2,2,2.33,1.25
10004908, , , , , , , , 
10004909,2.8,2.67,1,2,2.25,2.4,1.5,2
10004910,2.4,3,1.25,2.5,3.5,3.8,1.17,1
10004911, , , , , , , , 
10004912,3.4,4,1.25,1,4,4,1,1.25
10004913,3.4,4,1.25,2.5, , , , 
10004914, , , , ,3.75,3.4,2,2.25
10004915,3,3,1.25,1, , , , 
10004916,3,3.33,1.25,1,3.25,3,1,2
10004917,2.4,2.33,2.25,2,2.25,2,3.67,3.33
10004918,2.8,2.67,1.5,2,3.75,3,1.33,1.5
10004919, , , , , , , , 
10004920,3.6,3.67,1.25,1.5,3.75,3.8,1.5,1.25
10004921,2.8,3.67,1.75,1.5,3.67,3.2,1,1
10004922, , , , ,2.75,2.2,2.5,3
10004923,3.2,3.33,1.75,3,2.25,2,3.67,1.75
10004924,2.8,3,1.75,2,2.5,2.4,1.83,1.5
10004925,3.2,3,2,2,3.25,2.8,1.33,1
10004926, , , , , , , , 
10004927, , , , ,3,2.6,2,1.75
10004928,2.8,3.67,1.5,1.5,3.5,3.4,1.33,2.25
10004929, , , , , , , , 
10004930,2.4,3.67,1.5,1.5,3,2.2,2.17,3.5
10004931,2.8,4,1.25,1,3.25,4,1.83,1.5
10004932, , , , ,3.25,3.2,2,1.5
10004933,3.8,4,1.25,2.5,3.75,3.2,1.5,1.75
10004934,3,4,1.25,1.5,3.75,4,1,2.25
10004935,2.6,3.33,1.5,3,2.25,2.4,2.17,1.25
10004936,3,3.67,1.25,2,3.5,3.6,1.17,1.5
10004937,3.2,3,1.75,2,3.5,3.4,1.5,1.67
10004938,2.8,4,1.5,1.5,3.67,3.6,1.17,1.25
10004939, , , , , , , , 
10004940,3.4,4,1,1,3.25,3.8,1.5,1.25
10004941, , , , ,2,2.4,1.83,4
10004942,3.2,3.67,1,1,3.25,4,1.33,1.25
10004943,3.4,3,1.25,2,3.75,2.25,1,4
10004944,3,3,1.5,1,3.5,3.6,1.17,1.25
10004945,2,3.33,1.5,3.5,3,2.8,2.33,1.75
10004946,3.6,4,1,1,3.75,3.6,1,1
10004947, , , , , , , , 
10004948,4,4,1,1.5,2.75,3.6,1.67,1.5
10004949,3.4,4,1.75,2,3.75,3.4,1.5,1.25
10004950,3.2,3,1.5,2,3.67,4,1,1.25
10004951,2.8,3.67,1.33, ,3.25,3.2,1.17,1.75
10004952, , , , , , , , 
10004953,3.4,4,1.25,2.5,3.5,4,1.5,1
10004954,2.8,3.67,2,1,3.67,4,1.17,2
10004955,3.6,3.67,1,1,2.75,3.6,1.67,2.25
10004956, , , , , , , , 
10004957,3.2,3,1,2,3.5,3.8,1.33,1.25
10004958, , , , , , , , 
10004959,2.8,3,1.25,2,2,2,2.33,2
10004960,3,3.33,1.25,2,2.25,3.4,1.83,1.5
10004961,4,3.33,1.25,2,3.75,4,1,1
10004962,2.8,3.67,1.25,1.5,4,4,1,1.5
10004963, , , , ,3.25,2.8,2.17,1.5
10004964,2.4,2.67,1.75,1.5,4,2.8,1,2
10004965, , , , , , , , 
10004966, , , , ,2.67,2.4,2,1.5
10004967, , , , , , , , 
10004968,3.4,3,1.75,2,3.75,3.6,1.33,1.5
10004969,3.6,3,1.25,1, , , , 
10004970,3.2,3.67,1.75,1.5, , , , 
10004971,3,3.67,2,1.5,3.67,3.6,1.17,1
10004972, , , , , , , , 
10004973,3,4,1.25,2,3.75,4,1.17,1.25
10004974, , , , ,3.75,3.8,1.67,1
10004975, , , , , , , , 
10004976, , , , , , , , 
10004977,4,4,1,1,4,4,1.5, 
10004978,3.2,2.33,1.5,2.5,3, ,1.17,1
10004979,3.2,3.67,1.75,1.5,2.5,2.6,2.33,2
10004980, , , , ,3.75,3.6,1.17,1.5
10004981,2.2,3.33,1.75,2,4,4,1.17,1.5
10004982,3.6,3.33,2.25,1.5,2.75,2.6,2.5,2.25
10004983,3.6,3.67,1.75,1,2.5,2.4,1.17,1.75
10004984, , , , , , , , 
10004985, , , , , , , , 
10004986,3.4,4,2,1,3.5,3.5,1.17,1.25
10004987, , , , ,2.5,2.4,2.17,1.75
10004988,2.2,3,1.25,3.5,2.5,2.5,2.17,1.25
10004989,2.8,3,1.25,1,3,2.6,1.83,1.25
10004990, , , , ,3.75,3.6,1.17,1
10004991,3.4,3.33,1.25,2,2.5,3,2.33,1.5
10004992,3,3.67,1.5, ,3.75,3.6,1,1.25
10004993,2.6,3,1.25,3,3.75,3.8,1.5,1.25
10004994, , , , ,3.75,3.6,1.33,1.5
10004995,1.4,4,1.25,1,1.33,1.4,1.2,2
10004996,3.8,4,1,1,2.75,3,2.33,2
10004997,3.2,4,1.25,2,4,4,1,1.25
10004998,2.8,3,1.75,2.5,3.75,2.4,1.83,1.5
10004999,2.8,4,1.75,1.5, , , , 
10005000,3.4,4,1.25,2,3.75,3.5,1.33,1.5
10005001,3,4,1,2, , , , 
10005002,3.4,3,1.5,1.5,3.75,3.2,1.33,1.25
10005003, , , , , , , , 
10005004, , , , ,2.5,1.8,1.5,3
10005005,2.8,2.67,1,4,2.33,1.8,3,1.25
10005006, , , , ,3,3.8,2,1.25
10005007,3,3,2,2,3,2.8,2.67,1.67
10005008,3,3.67,1,2.5, , , , 
10005009,3.2,3.67,1,1.5,3.75,3.4,2,1.25
10005010,2.8,3.33,2,2,3,2.5,2.17,2
10005011,2.8,3.33,1.25,2.5,3.25,3.4,1.83,1.25
10005012, , , , ,4,3.6,1.17,2
10005013,2.8,4,1.25,1,3,2.4,2.17,1.25
10005014,3.4,3,2,1.5,4,4,1.33,1.25
10005015,3.4,3.33,1.25,2,4,4,1.17,1.25
10005016,4,3.67,1,1,3.5,4,1.17,2
10005017,3,3.33,1.5,1.5,3.75,4,1.33,1.25
10005018,3,2.67,1.75,1.5,1.75,2.2,2.5,2.25
10005019,3.4,3.67,1.75,2,4,3.8,1,1.5
10005020,2.8,2.67,2,2.5,2,2,2.83,2
10005021,2.6,3,2,3, , , , 
10005022,3,3,1.25,1.5,2.75,2.6,1.67,1.75
10005023, , , , , , , , 
10005024,3,3.67,2,3,2.75,3,2.17,1.75
10005025, , , , ,3.5,3,1.17,1
10005026,2.8,3.67,1.25,2,4,4,1.5,1.25
10005027,3.6,4,1.25,2,4,3.8,1,1
10005028,2.8,3.33,2,1.5,3.75,3.6,1.17,1
10005029, , , , , , , , 
10005030,2,4,1.25,2, , , , 
10005031,2.8,4,2,2,3.25,3.4,1,1.25
10005032,2.6,3.33,1.5,2.5,3.25,4,1.83,1.25
10005033, , , , , , , , 
10005034, , , , ,4,3.4,1.17,1.5
10005035,3,4,1.25,2.5,2.75,2.6,1.67,1
10005036, , , , ,3.5,3.6,1.83,2.25
10005037,2.6,3.33,1.25,2.5,2.25,2,2.83,1.25
10005038, , , , ,3.5,4,2,1.25
10005039,3.8,4,1,1.5,2.75,3,1.5,1
10005040,2.8,3,2,2,4,3.25,1.83,1.25
10005041, , , , ,3.67, ,1.83,1.5
10005042,3.2,3.33,1.25,2.5,3.75,3.8,1.33,1
10005043,3.4,3.33,1.75,1.5,3.75,3.4,1.67,2
